y_2079,y_2082
336497,342440
337376,342468
336162,341820
338755,342291
336267,340478
335404,341000
337628,340134
334425,342051
333281,340691
334186,342455
338233,340526
334519,340240
336918,341176
335528,342523
336611,340862
334002,341407
336847,340719
333860,342324
338409,341836
334894,340523
338350,342644
334117,339433
333263,341239
333835,342056
337054,342731
336249,341210
333490,339591
337599,340708
334958,341364
334036,339546
337621,342447
335670,341819
334498,342684
335306,341366
335298,339593
335222,340050
333201,341776
334906,341561
333654,339425
335148,340092
338857,340521
335799,342322
337129,341165
335272,342487
335013,342392
334147,340750
333565,342153
333417,339318
336729,339481
335226,340817
337716,342543
333624,339873
334676,342556
334698,341936
335643,340157
337819,341249
333369,339319
335576,342191
336349,341881
335346,340547
333940,340553
339207,339709
337648,340584
336370,342387
338805,339737
336749,340545
339007,340579
336796,341115
337203,339535
336631,340021
334690,341288
336463,339694
333760,339865
336553,341060
337214,340356
333699,341458
334341,341869
333264,341851
335641,341312
337347,341299
335867,341514
336748,340385
339063,342592
333732,339685
337822,340421
337337,339860
335071,340151
337108,339445
336077,342140
336122,342197
333552,341846
337613,342195
338988,342624
336844,341339
333187,339321
333320,340190
334937,340147
337664,340635
336365,340423
334244,342023
333585,340608
334740,342143
337533,339532
333661,340973
336675,341884
335192,342341
337946,339903
337850,341847
336984,341862
338299,340567
338097,340771
335754,342166
339055,341321
335808,340981
334752,339311
336927,342205
337325,342563
337651,341297
337484,340572
333685,342365
336967,341687
338396,341863
334802,339702
334140,341691
333182,341849
334113,342367
339191,339931
336287,341487
335574,340000
338421,340772
336850,340982
337422,339312
338133,341295
336044,340612
333408,341732
336440,342549
334857,339844
335788,340613
338971,340834
336477,339475
333734,342164
333180,340968
336153,341121
333762,339924
334922,339707
336558,340549
338747,340788
334238,340159
335984,341092
334402,340401
336721,341044
335720,340158
334161,339470
333923,339510
333528,341483
337934,340206
337566,339712
333493,339738
335424,341668
336437,341442
334796,341318
339040,340628
336165,340172
338795,342567
335318,340371
334456,341090
335775,341047
336605,339513
334240,340211
337524,340921
334200,341356
338720,342703
334012,339399
338824,339831
336107,340471
334097,342299
335008,339398
334282,339429
336577,340840
335347,342110
335750,340277
334388,342310
337339,340275
336512,341143
333237,340088
333645,341792
333648,342502
335085,340329
336131,342271
335958,340472
338407,340658
338262,341552
333747,340670
334507,340062
338395,342675
339218,340089
333572,342463
335888,342305
337322,339774
334942,340516
336005,340270
335850,342671
338483,340853
333686,339374
336288,340890
334392,340106
335232,339822
338221,342062
335709,341225
335944,340729
336307,339954
334538,340267
338628,340924
336832,341409
338224,340105
339100,342712
336283,342060
333759,341794
333939,340475
334156,341781
335131,339376
333891,340845
337515,340702
335599,340058
336886,341346
335766,342471
336281,340266
337066,340272
334490,339772
334194,339609
335208,340990
